[-0.00488175,-0.38101893,0.95867673,0.00964408]
[-0.0249289,-0.35911786,0.84389763,0.02666079]
[,0.01072407,-0.48250629,0.84932243,-0.0160905,]
[-0.00667706,-0.44345268,0.97435436,0.04889756]
[-0.00569637,-0.4866959,1.06732338,0.03642219]
[-0.11549201,-0.25615997,0.87018596,0.02151478]
[-0.01286058,-0.48953112,0.89769535,0.01527712]
[-0.08933497,-0.28109018,0.7810096,0.03067911]
[-0.08294108,-0.29867974,0.82979347,0.00138567]
[-0.07040693,-0.34233512,0.83739677,0.0413911,]
[-0.10515277,-0.25121663,0.71930865,0.02404664]
[-0.07457452,-0.29675022,0.83004719,-0.01750297]
[-0.06932626,-0.30094655,0.87970968,0.07046032]
[-0.07490434,-0.29411244,0.86811542,0.05655831]
[-0.04993339,-0.36297807,0.94062236,0.06112044]
[-0.05887145,-0.32443611,0.89951412,0.01172348]
[-0.05904548,-0.3238561,0.87904261,0.04454039]
[-0.04843204,-0.32473231,0.92653111,0.02576416]
[-0.05624164,-0.33953701,0.93717893,0.03695974]
[-0.03978079,-0.46135185,1.10294005,-0.01780828]
[-0.03880755,-0.45590695,0.98102897,0.01309702]
[-0.04786288,-0.39243997,0.96821254,0.03239864]
[-0.03812192,-0.43193136,1.03149454,0.00938473]
[-0.04187947,-0.40774791,1.02352785,0.03820283]
[-0.02286096,-0.52996416,1.19829169,-0.00506676]
[-0.02063197,-0.47196301,1.09921329,0.00437675]
[-0.01810384,-0.455369,1.12553644,0.01081998]
[-0.02373616,-0.4542624,1.09199719,0.06078306]
[-0.03560351,-0.41124253,1.03831232,0.03560456]
[-0.01907165,-0.47303213,1.09202477,0.0399155,]
[-0.03425368,-0.42265716,1.04937852,0.00812245]
[-0.02736931,-0.46356127,1.07889429,0.06979912]
[-0.0463892,-0.40639794,1.00261019,0.04860215]
[-0.01292054,-0.49345993,1.09823711,0.04218905]
[-0.01276833,-0.49837489,1.17948465,0.01399253]
[-0.00402425,-0.51820311,1.12516035,0.00641478]
[,5.57417164e-03,-5.52705654e-01,1.14718358e+00,-7.34058795e-04]
[,0.03424553,-0.66060861,1.14849351,0.01630075]
[,0.00841645,-0.60220107,1.18460403,0.03719984]
[-0.00949513,-0.50651496,1.05134834,0.00834165]
[,0.00742615,-0.51817968,1.02113738,0.01099038]
[-0.01222766,-0.49159804,1.00818095,-0.03741649]
[-0.00760572,-0.53404638,1.09179829,0.0414318,]
[,0.02041739,-0.62178016,1.17492644,0.00773949]
[-0.00181975,-0.55080338,1.15007936,0.0285371,]
[-0.00498779,-0.49253868,0.99519159,-0.01149152]
[-0.04187064,-0.36620192,0.93244779,0.06115841]
[-0.00925196,-0.49858406,1.12392913,0.02783545]
[-0.03133854,-0.47893763,1.15785388,0.05013694]
[-0.05223905,-0.41951094,1.01253497,0.03644949]
[-0.04049697,-0.37040196,0.85409372,0.06571123]
[-0.06507917,-0.24587156,0.75966624,0.05466208]
[-0.04341714,-0.28704045,0.8446259,0.0020436,]
[-3.09318057e-02,-3.33863999e-01,9.45844675e-01,8.74981901e-04]
[-0.04599794,-0.27184659,0.90934722,-0.00457173]
[-0.05648303,-0.26612871,0.87837441,0.02952464]
[-0.00976979,-0.42063272,1.06540722,0.01700251]
[-0.00658292,-0.24982177,0.62779331,-0.04794659]
[-0.00598677,-0.18185087,0.74616622,0.03659166]
[,0.0029243,-0.20466452,0.90980146,0.12014749]
[-0.00230289,-0.04399791,0.23955175,0.23594111]
[,0.00378513,-0.01520566,-0.01846426,0.09898472]
